id,title,audience,poster_url,genres,open_date,actors,director,description,video_key
3775,범죄와의 전쟁: 나쁜놈들 전성시대,1103246,https://movie-phinf.pstatic.net/20111224_165/13246577572754h14b_JPEG/movie_image.jpg,"[9, 12]",2012-02-02,"[427, 263]",윤종빈,"1982년 부산, 해고될 위기에 처한 비리 세관원 최익현은 순찰 중 적발한 히로뽕을 일본으로 밀수출하기 위해 부산 최대 조직의 젊은 보스 최형배와 손을 잡는다. 익현은 탁월한 임기응변과 특유의 친화력으로 형배의 신뢰를 얻는 데 성공한다. 주먹 넘버원 형배와 로비의 신 익현은 함께 힘을 합쳐 부산을 접수하기 시작하고, 나쁜 놈들의 전성시대가 펼쳐진다. 하지만 1990년 범죄와의 전쟁이 선포되자 조직의 의리는 금이 가고 배신이 시작된다. 살아남기 위해 벌이는 치열한 한판 승부, 최후에 웃는 자는 과연 누가 될 것인가?",9bu_FJGpAWU
2547,님포매니악 볼륨1,27505,https://movie-phinf.pstatic.net/20140609_234/14022809519221MYu1_JPEG/movie_image.jpg,"[6, 1, 3, 8, 14]",2014-06-18,"[1923, 1317, 423, 1924]",라스 폰 트리에,"누구도 거부할 수 없고, 누구도 따라갈 수 없는 매력의 강력한 마법을 가진 숲의 수호자 ‘말레피센트’는 인간왕국과의 거대한 전쟁의 소용돌이 속에서 왕국을 다스리는 ‘스테판’ 왕의 딸 ‘오로라’ 공주의 세례식 날, 거부할 수 없는 치명적인 저주를 내리는데...",
72,이스케이프 룸,389570,https://movie-phinf.pstatic.net/20190308_234/1552035128139wsiTd_JPEG/movie_image.jpg,[13],2019-03-14,"[114, 115, 116, 117, 118, 119, 120]",애덤 로비텔,"커플 데이트를 즐기기 위해 LA의 가장 인기 있는 방탈출 카페를 찾은 네 명의 남녀. 그러나 게임 도중 실수로 저주받은 ‘스컬 박스’를 열게 되고, 그로 인해 밀실에 있던 살인마에게 악령이 빙의 되면서 이들의 데이트는 악몽으로 뒤바뀐다. 살아서 이 방을 나갈 수 있는 방법은 오직 단 하나. 제한 시간 60분 안에 살인마의 눈을 피해 유일한 출구를 열 수 있는 단서를 찾아야만 한다.",
2941,섀도우 헌터스: 뼈의 도시,211514,https://movie-phinf.pstatic.net/20130822_135/1377135460109oMh5K_JPEG/movie_image.jpg,"[3, 1, 10, 7, 14, 6]",2013-09-12,"[248, 2088, 2089, 1967, 297, 2090]",해럴드 즈워트,"“모탈잔에 따른 천사의 피를 마신 자! 악마사냥의 운명으로 다시 태어나리라!”  뉴욕의 평범한 소녀 클레리는 어느 날 제이스, 알렉, 이사벨을 만나게 되고, 자신이 그들과 같이 특별한 능력을 가진 섀도우 헌터임을 알게 된다. 뿐만 아니라 발렌타인이 세상을 지배하기 위해 찾고 있는 모탈잔의 행방이 봉인된 클레리의 기억 속에 있다는 비밀이 밝혀지는데…  인간세상과 다운월드, 두 세계를 구하기 위한 그들의 전쟁이 시작된다!",
2637,페이스 오브 러브,46097,https://movie-phinf.pstatic.net/20140410_247/1397122508186zqdrM_JPEG/movie_image.jpg,"[10, 14]",2014-04-16,"[1945, 1700, 1751]",아리 포신,"내 사랑, 내 모든 것……  그날, 내 사랑이 떠났습니다.  그를 잃은 순간, 나도 사라졌습니다.  다시 한번 그를 볼 수 있다면, 만질 수만 있다면..  그런데 오늘,  그의 숨결이 여전히 살아있는 미술관에서 나는 숨이 멎을 것만 같았습니다.  마치 환영처럼 내 사랑을 완벽하게 닮은 남자.  그가 나를 사랑할수록, 내가 이 사람을 원할수록  나는 혼란스러워집니다.  내 사랑은……  5년 전 바닷가에서, 내 심장마저 멈추게 한 그 사람일까요?  내 심장을 다시 뛰게 만든 이 사람일까요?",
1349,아수라,1802691,https://movie-phinf.pstatic.net/20180131_16/1517381229841vD9SI_JPEG/movie_image.jpg,"[3, 9]",2016-09-28,"[1197, 1198, 1199, 1200, 1201, 1202]",팽 장,"강력계 형사 한도경(정우성)은 이권과 성공을 위해 각종 범죄를 저지르는  악덕시장 박성배(황정민)의 뒷일을 처리해주는 대가로 돈을 받는다. 악에 계속 노출되는 사이,  말기 암 환자인 아내의 병원비를 핑계로 돈 되는 건 뭐든 하는 악인의 길로 들어서게 된 한도경.  그의 약점을 쥔 독종 검사 김차인(곽도원)과 검찰 수사관 도창학(정만식)은  그를 협박하고 이용해 박성배의 비리와 범죄 혐의를 캐려 한다.  각자의 이익과 목적을 위해 한도경의 목을 짓누르는 검찰과 박성배.  그 사이 태풍의 눈처럼 되어 버린 한도경은, 자신을 친형처럼 따르는 후배 형사 문선모(주지훈)를  박성배의 수하로 들여보내고, 살아남기 위해 혈안이 된 나쁜 놈들 사이에서 서로 물지 않으면 물리는 지옥도가 펼쳐진다.",
4201,노미오와 줄리엣,78081,https://movie-phinf.pstatic.net/20180907_192/1536282563846MmRwL_JPEG/movie_image.jpg,"[5, 8]",2011-04-14,"[312, 195, 236]",존 스티븐슨,"몬태큐와 캐퓰릿 가문은 담장 하나 사이에 두고 ‘레드 톤’과 ‘블루 톤’의 정원을  경쟁적으로 꾸미며 서로 으르렁대는 사이.  하지만, 진짜 원수는 따로 있었다.  인간들이 외출하거나 잠잘 때만을 기다렸다 움직이기 시작하는  3등신 정원 인형들이 바로 그들.  ‘레드가’와 ‘블루가’로 나뉘어 서로 눈길만 마주쳐도 못 잡아먹어 안달인 이들은  틈만 나면 잔디 깎기 머신에 올라 경주를 한다.  그 중에서도 ‘블루가’의 히어로 노미오와  ‘레드가’의 행동대장 티볼트의 경쟁은  ‘분노의 질주’가 무색할 만큼 손에 땀을 쥐게 하는 명승부다.  그런 이들 사이에도 바야흐로 봄날이 찾아오는데..,  ‘블루가’의 노미오와 ‘레드가’의 줄리엣이  한 눈에 끌려 사랑에 빠지게 된 것.  하지만, 둘의 연애를 축복하는 이들은 아무도 없다.  이제, 노미오와 줄리엣은 인간의 눈만이 아니라 자신들의 친척, 친구의 눈까지 피해가며  밤마다 몰래 데이트를 즐긴다.  그리고 마침내 이 두 가문의 오랜 대립을 종결 지을  비밀 병기 잔디깎기 머신 '테라퍼미네이터'(헐크 호간)가 등장하는데…  과연, 이 중대 국면에 노미오와 줄리엣의 사랑은 어떻게 될까?  과연, 두 가문은 오랜 대립을 멈출 수 있을까?",
2200,킹스맨 : 시크릿 에이전트,713529,https://movie-phinf.pstatic.net/20150211_196/1423620617966V1jPW_JPEG/movie_image.jpg,"[9, 4, 3, 1]",2015-02-11,"[421, 798, 33]",매튜 본,"높은 IQ, 주니어 체조대회 2년 연속 우승!  그러나 학교 중퇴, 해병대 중도 하차.  동네 패싸움에 직장은 가져본 적도 없이 별볼일 없는 루저로 낙인 찍혔던 ‘그’가‘젠틀맨 스파이’로 전격 스카우트 됐다!  전설적 베테랑 요원 해리 하트(콜린 퍼스)는 경찰서에 구치된 에그시(태런 애거튼)를 구제한다.  탁월한 잠재력을 알아본 그는 에그시를 전설적 국제 비밀정보기구 ‘킹스맨’ 면접에 참여시킨다.  아버지 또한 ‘킹스맨’의 촉망 받는 요원이었으나 해리 하트를 살리기 위해 죽었다는 사실을 알게 된 에그시.  목숨을 앗아갈 만큼 위험천만한 훈련을 통과해야 하는 킹스맨 후보들.  최종 멤버 발탁을 눈 앞에 둔 에그시는 최고의 악당 발렌타인(사무엘 L. 잭슨)을 마주하게 되는데…",
4469,레터스 투 줄리엣,168329,https://movie-phinf.pstatic.net/20111223_212/1324623298698EAAYg_JPEG/movie_image.jpg,"[4, 10, 14]",2010-10-06,"[416, 2665, 2666, 2667]",개리 위닉,"작가 지망생 소피는 전세계 여성들이 비밀스런 사랑을 고백하는 ‘줄리엣의 발코니’에서 우연히 50년 전에 쓰여진 러브레터 한 통을 발견하고, 편지 속 안타까운 사연에 답장을 보낸다. 며칠 후, 소피의 눈 앞에 편지 속 주인공 클레어와 그녀의 손자 찰리가 기적처럼 나타나는데…  소피의 편지에 용기를 내어 50년 전 놓쳐버린 첫사랑 찾기에 나선 클레어. 할머니의 첫사랑 찾기가 마음에 안 들지만 어쩔 수없이 따라나선 손자 찰리. 그리고 그들과 동행하게 된 소피. 그들의50년 전 사랑 찾기는 성공할까? 그리고 소피에게는 새로운 사랑이 찾아올까?",
1071,분노의 질주: 더 익스트림,1428592,https://movie-phinf.pstatic.net/20170314_17/1489464877358bXa3j_JPEG/movie_image.jpg,"[3, 9, 12]",2017-04-12,"[954, 480, 326, 439]",F. 게리 그레이,마침내 평화로운 일상으로 돌아온 리더 도미닉(빈 디젤)과 멤버들. 하지만 레티(미셸 로드리게스)와 쿠바에서 신혼을 만끽 중인 도미닉(빈 디젤)에게 불청객이 찾아온다. 전설적인 해커이자 테러 조직의 리더 사이퍼(샤를리즈 테론)는 도미닉을 협박해 자신의 명령을 따르게 한다. 멤버들은 도미닉이 사이퍼와 함께  사상 최악의 테러를 계획하고 있음을 알게 된다.  리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 데카드 쇼(제이슨 스타뎀)까지 영입해  최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데...,
